88	대황황련사심탕	治心煩，心下痞按之濡者．
89	사심탕	治心煩，下利，心下痞按之濡者．
90	부자사심탕	治瀉心湯證，而惡寒者．
91	대황부자탕	治腹絞痛，惡寒者．
92	대황감수탕	治小腹滿如敦狀，小便微難，或經水不調者．
93	저당탕	治小腹硬滿，小便快利，或腹不滿，其人言我滿者．
94	저당환	治抵當湯證緩者．
95	귤피대황박소탕	治胸中有毒而結者．
96	대황소석탕	治發黃，腹中有結毒者．
97	대황목단피탕	治臍下有毒，按之卽痛，及便膿血者．
98	대황감초탕	治大便秘結，急迫者．
99	조위승기탕	治大黃甘草湯證，而實者．
100	도핵승기탕	治小腹急結，上衝，及有血者．
101	하어혈탕	治臍下毒痛，及經水不利者．
102	토과근산	治小腹拘急，經水不利，或下白物者．
103	감초탕	治病急迫，及咽喉急痛者．
104	길경탕	治甘草湯證，而有膿，或粘痰者．
105	배농탕	治瘡家，膿血及粘痰，急迫者．
106	작약감초탕	治拘攣急迫者．
107	감수반하탕	治芍藥甘草湯證，而心下硬滿，嘔者．
108	작약감초부자탕	治芍藥甘草湯證，而惡寒者．
109	감맥대조탕	治急迫，而狂驚者．
110	감초분밀탕	治吐涎，吐蟲，心痛發作有時者．
111외	생강감초탕	治咳唾，涎沫不止，心下痞硬，急迫者．
112	감초건강탕	治厥而煩躁，多涎唾者．
113	사역탕	治四肢厥逆，身體疼痛，下利淸穀，或小便淸利者．
114	통맥사역탕	-
115	사역가인삼탕	治四逆湯證，而心下痞硬者．
116	복령사역탕	治四逆加人參湯證，而悸者．
117	통맥사역가저담즙탕	-
118	건강부자탕	治厥而煩躁，惡寒者．
119	부자갱미탕	治腹中雷鳴，切痛，惡寒，或嘔吐者．
120	의이부자산	治胸中痺，惡寒者．
121	의이부자패장산	治一身甲錯，腹皮急，按之濡如腫狀者．
122	백통탕	-
123	백통가저담즙탕	-
124	대오두전	治毒繞臍絞痛，或自汗出，手足厥冷者．
125	오두탕	治骨節疼痛不可屈伸，若自汗，或盜汗，若腹絞痛者．
126	적환	治心下悸，惡寒，嘔而腹痛，或微厥者．
127	진무탕	治心下悸，身瞤動，振振欲擗地，小便不利，或嘔，若下利，若急痛者．
128	부자탕	治身體攣痛，小便不利，心下痞硬，若腹痛者．
129본	천웅산	治小便不利，上逆，臍下有動，惡寒者．
130	치자시탕	治心中懊憹者．
131	치자감초시탕	治梔子豉湯證，而急迫者．
132	치자생강시탕	治梔子豉湯證，而嘔者．
133	지실치자시탕	治梔子豉湯證，而胸滿者．
134	치자대황탕	治枳實梔子豉湯證，而閉者．
135	인진호탕	治心煩，一身發黃，大便難者．
136	치자벽피탕	治一身黃，發熱，心煩者．
137	치자후박탕	治胸腹煩滿者．
138	치자건강탕	治心中微煩者．
139	대함흉탕	治心下至小腹硬滿而痛不可近者．
140	대함흉환	治大陷胸湯證，而項背强者．
141	소함흉탕	治病正在心下，按之痛，煩悸而嘔者．
142	과루해백백주탕	治胸背痛，喘息，咳唾者．
143	과루해백반하탕	治括蔞薤白白酒湯證，而嘔者．
144	과체산	治溫溫欲吐者．
145	문합산	治欲飮水，反不渴者．
146	대반하탕	治嘔吐而心下痞硬者．
147	소반하탕	治吐而不渴者．
148	생강반하탕	治似喘不喘，似嘔不嘔，似噦不噦，心中憒憒然無奈何者．
149	소반하가복령탕	治小半夏湯證，而眩悸者．
150	반하고주탕	治咽中生瘡，音瘂者．
151	반하후박탕	治咽中如有炙臠，或嘔，心下悸者．
152	반하건강산	治乾嘔，吐逆涎沫者．
153	건강인삼반하환	治嘔吐不止，心下痞硬者．
154	반하사심탕	治心下痞硬，腹中雷鳴者．
155	감초사심탕	治半夏瀉心湯證，而心煩不得安者．
156	생강사심탕	治半夏瀉心湯證，而嘔者．
157	오수유탕	治胸滿，心下痞硬，而嘔者．
158	후박생강반하감초인삼탕	治胸腹滿而嘔吐者．
159	황련탕	治心煩，心下痞硬，上衝，欲嘔吐者．
160	건강황련황금인삼탕	治心煩，心下痞硬，吐下者．
161	대건중탕	治腹大痛，嘔不能飮食，腹皮起如有頭足者．
162	황련아교탕	治心中悸而煩，不得眠者．
163	황금탕	治下利，腹拘急者．
164	황금가반하생강탕	治黃芩湯證，而嘔逆者．
165	육물황금탕	治心下痞硬，乾嘔，下利，上衝者．
166	삼물황금탕	治心胸苦煩者．
167	백두옹탕	治熱利，下重，而心悸者．
168	백두옹가감초아교탕	治白頭翁湯證，而便血，急迫者．
169	목방기탕	治水腫，心下痞硬，而煩渴者．
170	목방기거석고가복령망초탕	治木防己湯證劇，而唯悸，不煩渴者．
171	방기복령탕	治四肢聶聶動，水毒在皮膚，而上衝者．
172	방기황기탕	治水病，身重，汗出，惡風，小便不利者．
173	지실작약산	治腹滿拘攣，或痛者．
174	지출탕	治心下堅滿，小便不利者．
175	배농산	治瘡家，胸腹拘滿，若吐粘痰，或便膿血者．
176	계지생강지실탕	治胸滿，上衝，或嘔者．
177	지실해백계지탕	治胸中痺，而滿痛者．
178	귤피지실생강탕	治胸中痺，滿而嘔者．
179외	복령음	治心下痞硬，而悸，小便不利，胸滿而自吐宿水者．
180	귤피죽여탕	治胸中痺，而吃逆者．
181	귤피탕	治胸中痺，而嘔噦者．
182	계지복령환	治拘攣，上衝，心下悸，及經水有變，或胎動者．
183	궁귀교애탕	治吐血，下血，及諸血證，或婦人漏下，腹中痛者．
184	선복화대자석탕	治心下痞硬，噫氣不除者．
185	적석지우여량탕	治毒在臍下，而利不止者．
186	도화탕	治腹痛下利，便膿血者．
187	대저담즙	-
188	밀전도	治肛門乾燥，大便秘者．
189	산조인탕	治煩躁不得眠者．
190	정력대조사폐탕	治浮腫，咳逆，喘鳴迫塞，胸滿，强急者．
191	마자인환	治胸腹滿，而拘攣，大便秘者．
192	기초력황환	治腹滿，口舌乾燥，二便澁滯者．
193	촉칠산	治寒熱發作有時，臍下有動者．
194	십조탕	治病在胸腹，掣痛者．
195	길경백산	治毒在咽喉及胸中，吐下如膿汁者．
196외	주마탕	治胸腹有毒，苦心痛，若腹痛者．
197	비급원	治心腹卒痛者．
198외	반석탕	治脚痿弱不仁，及毒上搶心者．
199	초반산	治一身悉黃，腹脹如水狀，大便黑，時溏者．
200	반석환	治婦人經水不利，下白物者．
201	사상자산	治婦人下白物，陰中痒，或有小瘡者．
