162	황련아교탕	黃連阿膠湯
163	황금탕	黃芩湯
164	황금가반하생강탕	黃芩加半夏生薑湯
165	육물황금탕	六物黃芩湯
166	삼물황금탕	三物黃芩湯
167	백두옹탕	白頭翁湯
168	백두옹가감초아교탕	白頭翁加甘草阿膠湯
169	목방기탕	木防己湯
170	목방기거석고가복령망초탕	木防己去石膏加茯苓芒硝湯
171	방기복령탕	防己茯苓湯
172	방기황기탕	防己黃芪湯
173	지실작약산	枳實芍藥散
174	지출탕	枳朮湯
175	배농산	排膿散
176	계지생강지실탕	桂枝生薑枳實湯
177	지실해백계지탕	枳實薤白桂枝湯
178	귤피지실생강탕	橘皮枳實生薑湯
179외	복령음	茯苓飮
180	귤피죽여탕	橘皮竹茹湯
181	귤피탕	橘皮湯
182	계지복령환	桂枝茯苓丸
183	궁귀교애탕	芎歸膠艾湯
184	선복화대자석탕	旋覆花代赭石湯
185	적석지우여량탕	赤石脂禹餘糧湯
186	도화탕	桃花湯
187	대저담즙	大猪膽汁
188	밀전도	蜜煎導
189	산조인탕	酸棗仁湯
190	정력대조사폐탕	葶藶大棗瀉肺湯
191	마자인환	麻子仁丸
192	기초력황환	己椒藶黃丸
193	촉칠산	蜀漆散
194	십조탕	十棗湯
195	길경백산	桔梗白散
196외	주마탕	走馬湯
197	비급원	備急圓
198외	반석탕	礬石湯
199	초반산	硝礬散
200	반석환	礬石丸
201	사상자산	蛇床子散
불시1	죽섭석고탕	竹葉石膏湯
불시2	맥문동탕	麥門冬湯
불시3	웅황훈	雄黃熏
불시4	두풍마산	頭風摩散
불시5	조협환	皂莢丸
불시6	위경탕	葦莖湯		
불시7	당귀생강양육탕	當歸生薑羊肉湯
불시8	포회산	浦灰散		
불시9	활석백어산	滑石白魚散
불시10	저고발전	猪膏髮煎		
불시11	백엽탕	柏葉湯
불시12	황토탕	黃土湯
불시13	계시백산	雞屎白散
불시14	지주산	蜘蛛散
불시15	당귀작약산	當歸芍藥散
불시16	당귀패모고삼환	當歸貝母苦參丸
불시17	낭아탕	狼牙湯
불시18	소아감충식치방	小兒疳蟲蝕齒方
